epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5283,1.10312,3.99497,1.31136,0.00423,0.875,0.09312,0.07022,0.55545,3.29166,0.93181,1.538e-05,1.538e-05,1.538e-05
2,16.7428,1.2963,3.97209,1.44075,0.00657,0.875,0.07808,0.06314,0.54228,3.28997,0.93977,3.80693e-05,3.80693e-05,3.80693e-05
3,17.4359,0.83108,3.90452,1.14782,0.01234,0.875,0.11262,0.09692,0.39072,3.292,0.87929,6.03019e-05,6.03019e-05,6.03019e-05
4,18.182,0.86166,3.80092,1.13176,0.02632,0.875,0.17604,0.15099,0.32053,3.28957,0.88209,8.20777e-05,8.20777e-05,8.20777e-05
5,18.8898,0.77186,3.70854,1.0434,0.03936,0.875,0.27308,0.2294,0.32857,3.28819,0.87794,0.000103397,0.000103397,0.000103397
6,19.5475,0.78238,3.62592,1.18911,0.02039,0.625,0.26844,0.24284,0.31022,3.28814,0.8584,0.000124259,0.000124259,0.000124259
7,20.2281,0.63809,3.56605,1.04811,0.03055,0.75,0.25384,0.23001,0.34547,3.28504,0.85325,0.000144664,0.000144664,0.000144664
8,20.8429,0.67072,3.46933,1.10696,0.05301,0.875,0.26578,0.2312,0.39859,3.28406,0.86062,0.000164613,0.000164613,0.000164613
9,21.5168,0.95796,3.6267,1.26811,0.04001,0.875,0.28088,0.23832,0.41881,3.28029,0.86544,0.000184105,0.000184105,0.000184105
10,22.1565,0.7011,3.39285,1.10811,0.02181,0.75,0.26637,0.22167,0.43956,3.27626,0.87007,0.00020314,0.00020314,0.00020314
11,23.0891,0.65914,3.59536,1.03209,0.05694,0.875,0.3672,0.33159,0.48239,3.25914,0.88958,0.000221718,0.000221718,0.000221718
12,24.1269,0.81679,3.1441,1.0866,0.0419,0.875,0.29672,0.26778,0.51646,3.2512,0.90407,0.00023984,0.00023984,0.00023984
13,25.1365,0.67287,2.92351,1.02474,0.03632,1,0.34431,0.26976,0.70522,3.21856,0.99609,0.000257504,0.000257504,0.000257504
14,26.1063,0.67702,2.97067,1.07313,0.03098,1,0.4054,0.31205,0.69148,3.19718,0.99282,0.000274712,0.000274712,0.000274712
15,27.0628,0.85622,2.82441,1.19249,0.02033,1,0.47884,0.39374,0.61584,3.12955,0.94471,0.000291463,0.000291463,0.000291463
16,28.0046,0.63219,2.73485,1.0561,0.01806,1,0.44658,0.39767,0.57874,3.1043,0.93899,0.000307758,0.000307758,0.000307758
17,28.9761,0.84236,2.84708,1.24292,0.01359,1,0.38443,0.31942,0.6881,3.04556,0.95805,0.000323595,0.000323595,0.000323595
18,29.9359,0.93935,2.69901,1.15447,0.01019,1,0.40286,0.32952,0.76386,3.02506,1.01603,0.000338976,0.000338976,0.000338976
19,30.918,0.78382,2.98502,1.15277,0.00892,1,0.45341,0.38843,0.88662,2.97623,1.09476,0.0003539,0.0003539,0.0003539
